,ITEM_CODE,Retailer Item Code,Description,BI_LIG_FLAG,BIR_BY_VISIT,BIR_BY_SALES,BIR_BY_REG_PRICE,BI_APPEAR_NOS,BI_APPEAR_PER,A1_ITEM_CODE,A1_RET_ITEM_CODE,A1 Item Description,A1_LIG_FLAG,A1R_BY_VISIT,A1R_BY_SALES,A1R_BY_REG_PRICE,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A2_ITEM_CODE,A2_RET_ITEM_CODE,A2_ITEM_DESC,A2_LIG_FLAG,A2R_BY_VISIT,A2R_BY_SALES,A2R_BY_REG_PRICE,A2_APPEAR_NOS,A2_APPEAR_PER,A3_ITEM_CODE,A3_RET_ITEM_CODE,A3_ITEM_DESC,A3_LIG_FLAG,A3R_BY_VISIT,A3R_BY_SALES,A3R_BY_REG_PRICE,A3_APPEAR_NOS,A3_APPEAR_PER,A4_ITEM_CODE,A4_RET_ITEM_CODE,A4_ITEM_DESC,A4_LIG_FLAG,A4R_BY_VISIT,A4R_BY_SALES,A4R_BY_REG_PRICE,A4_APPEAR_NOS,A4_APPEAR_PER,A5_ITEM_CODE,A5_RET_ITEM_CODE,A5_ITEM_DESC,A5_LIG_FLAG,A5R_BY_VISIT,A5R_BY_SALES,A5R_BY_REG_PRICE,A5_APPEAR_NOS,A5_APPEAR_PER
2372,451210,326008000,B & L SOUR CREAM,0,401,391,413,36424,0.115904102,13377,8926201,BM SHRED CHEESE 32 OZ(163494),1,27,9,65,2584,7.09,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,371,1.018559192,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,64,0.175708324,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,12,0.032945311,19185,8921929,LOL SPREADABLE BUTTER(217337),1,69,41,226,2,0.005490885
2373,452461,1201536718,SEIBEL GRADE A JUMBO EGGS,0,732,775,481,5254,0.016718651,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,533,10.14,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,54,1.027788352,421715,1200859298,BM HALF AND HALF CREAMER,0,87,66,480,6,0.114198706,20012,8923395,SARG STICKS & STRING CHEESE(206009),1,75,45,170,2,0.038066235,13377,8926201,BM SHRED CHEESE 32 OZ(163494),1,27,9,65,2,0.038066235
2374,452461,1201536718,SEIBEL GRADE A JUMBO EGGS,0,732,775,481,5254,0.016718651,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,335,6.38,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,54,1.027788352,421715,1200859298,BM HALF AND HALF CREAMER,0,87,66,480,6,0.114198706,13377,8926201,BM SHRED CHEESE 32 OZ(163494),1,27,9,65,2,0.038066235,20012,8923395,SARG STICKS & STRING CHEESE(206009),1,75,45,170,2,0.038066235
2375,452461,1201536718,SEIBEL GRADE A JUMBO EGGS,0,732,775,481,5254,0.016718651,12306,8924494,LAND O LAKES BUTTER QUARTERS(4801),1,22,6,63,281,5.35,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,28,0.532927293,123215,4828000,KR PHILA CRM CHS BRICK,0,32,29,613,6,0.114198706,227814,465952000,UD HOMO PLASTIC 208,0,146,228,1002,3,0.057099353,421715,1200859298,BM HALF AND HALF CREAMER,0,87,66,480,2,0.038066235
2376,452461,1201536718,SEIBEL GRADE A JUMBO EGGS,0,732,775,481,5254,0.016718651,40252,9000337,TROP 52 OZ CARAFE(211030),1,11,7,477,256,4.87,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,40,0.761324705,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,5,0.095165588,421715,1200859298,BM HALF AND HALF CREAMER,0,87,66,480,1,0.019033118,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,1,0.019033118
2377,455932,738096440,RITCHEY'S HOMO.VIT.D MILK GAL,0,625,565,321,10663,0.033930525,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,1326,12.44,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,121,1.134765075,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,15,0.140673356,871429,1202385689,BM HEAVY WHIPPING CREAM,0,86,117,916,5,0.046891119,36575,8941486,PHILA CREAM CHEESE 2PK(337551),1,105,58,187,3,0.028134671
2378,455932,738096440,RITCHEY'S HOMO.VIT.D MILK GAL,0,625,565,321,10663,0.033930525,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,730,6.85,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,98,0.919065929,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,13,0.121916909,12864,8921355,BM SHREDDED 16OZ CHEESE(130692),1,21,13,284,6,0.056269343,16500,8922518,BEST MARKETS 16OZ COT CHEESE(29852),1,72,131,995,3,0.028134671
2379,455932,738096440,RITCHEY'S HOMO.VIT.D MILK GAL,0,625,565,321,10663,0.033930525,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,638,5.98,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,121,1.134765075,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,15,0.140673356,871429,1202385689,BM HEAVY WHIPPING CREAM,0,86,117,916,5,0.046891119,36575,8941486,PHILA CREAM CHEESE 2PK(337551),1,105,58,187,3,0.028134671
2380,455932,738096440,RITCHEY'S HOMO.VIT.D MILK GAL,0,625,565,321,10663,0.033930525,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,543,5.09,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,74,0.693988559,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,12,0.112538685,22820,8921719,BM RICOTTA CHEESE 24 OZ(239037),1,190,214,644,2,0.018756448,12300,8924968,ICBNB SOFT TUB(13374),1,39,44,612,1,0.009378224
2381,457680,960176511,STERILE  HALF/HALF,0,486,423,414,23600,0.075097101,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,1746,7.40,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,252,1.06779661,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,40,0.169491525,12864,8921355,BM SHREDDED 16OZ CHEESE(130692),1,21,13,284,8,0.033898305,16759,8927004,DAISY SOUR CREAM(43876),1,33,62,930,3,0.012711864
2382,457680,960176511,STERILE  HALF/HALF,0,486,423,414,23600,0.075097101,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,1696,7.19,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,252,1.06779661,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,40,0.169491525,12864,8921355,BM SHREDDED 16OZ CHEESE(130692),1,21,13,284,8,0.033898305,12466,8923343,BM 8OZ CHUNK CHEESE(8320),1,13,20,1095,3,0.012711864
2383,457680,960176511,STERILE  HALF/HALF,0,486,423,414,23600,0.075097101,112049,619261169,BM 2% PLASTIC 12299,0,5,11,1150,1467,6.22,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,146,0.618644068,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,32,0.13559322,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,7,0.029661017,21526,8921615,GOLD PEAK ICED TEA 89 OZ(221389),1,142,97,354,2,0.008474576
2384,457680,960176511,STERILE  HALF/HALF,0,486,423,414,23600,0.075097101,12306,8924494,LAND O LAKES BUTTER QUARTERS(4801),1,22,6,63,1435,6.08,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,142,0.601694915,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,21,0.088983051,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,5,0.021186441,23825,8924664,TROP LEMONADES 59 0Z(253185),1,53,73,1340,1,0.004237288
2385,457706,1200080613,NB CAGE FREE BROWN LG EGG,0,102,92,586,222762,0.708846629,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,23316,10.47,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,2678,1.202179905,41665,9002082,BM SHRED CHEESE UPPER TIER 8OZ(375553),1,37,59,885,268,0.120307772,12864,8921355,BM SHREDDED 16OZ CHEESE(130692),1,21,13,284,29,0.013018378,12466,8923343,BM 8OZ CHUNK CHEESE(8320),1,13,20,1095,6,0.002693458
2386,457706,1200080613,NB CAGE FREE BROWN LG EGG,0,102,92,586,222762,0.708846629,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,17253,7.75,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,2678,1.202179905,41665,9002082,BM SHRED CHEESE UPPER TIER 8OZ(375553),1,37,59,885,268,0.120307772,12864,8921355,BM SHREDDED 16OZ CHEESE(130692),1,21,13,284,29,0.013018378,12466,8923343,BM 8OZ CHUNK CHEESE(8320),1,13,20,1095,6,0.002693458
2387,457706,1200080613,NB CAGE FREE BROWN LG EGG,0,102,92,586,222762,0.708846629,40252,9000337,TROP 52 OZ CARAFE(211030),1,11,7,477,10988,4.93,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,1490,0.668875302,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,182,0.081701547,41665,9002082,BM SHRED CHEESE UPPER TIER 8OZ(375553),1,37,59,885,21,0.009427102,12466,8923343,BM 8OZ CHUNK CHEESE(8320),1,13,20,1095,5,0.002244548
2388,457706,1200080613,NB CAGE FREE BROWN LG EGG,0,102,92,586,222762,0.708846629,18349,8921308,NATURE'S BASKET ORGANIC MILK(161253),1,73,47,515,10260,4.61,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,1376,0.617699608,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,209,0.093822106,41665,9002082,BM SHRED CHEESE UPPER TIER 8OZ(375553),1,37,59,885,25,0.01122274,12791,8923739,SIMPLY ORANBM JUICE(7159),1,26,15,283,5,0.002244548
2389,459895,229394514,MARB 1% MILK PLASTIC,0,341,289,335,48040,0.15286715,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,3977,8.28,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,501,1.042880933,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,59,0.122814321,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,9,0.018734388,12408,8920214,REDDI WIP CREAM 7 OZ.(8426),1,35,38,616,2,0.004163197
2390,459895,229394514,MARB 1% MILK PLASTIC,0,341,289,335,48040,0.15286715,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,3688,7.68,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,501,1.042880933,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,59,0.122814321,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,9,0.018734388,12408,8920214,REDDI WIP CREAM 7 OZ.(8426),1,35,38,616,2,0.004163197
2391,459895,229394514,MARB 1% MILK PLASTIC,0,341,289,335,48040,0.15286715,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,2954,6.15,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,429,0.893005828,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,62,0.129059117,14683,8943491,COFFEE-MATE CREAMER 32OZ(409),1,7,3,286,12,0.024979184,345648,985721238,MARB 1/2 & 1/2 PAPER,0,473,445,374,3,0.006244796
2392,459895,229394514,MARB 1% MILK PLASTIC,0,341,289,335,48040,0.15286715,14683,8943491,COFFEE-MATE CREAMER 32OZ(409),1,7,3,286,2324,4.84,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,317,0.659866778,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,48,0.099916736,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,12,0.024979184,345648,985721238,MARB 1/2 & 1/2 PAPER,0,473,445,374,3,0.006244796
2393,463214,457767465,RITCHEY'S LOWFAT CHOC MILK,0,762,673,153,4213,0.013406105,83658,225136952,RITCHEY'S 2% LOWFAT MILK,0,594,539,329,700,16.62,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,90,2.136244956,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,11,0.261096606,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,2,0.04747211,16759,8927004,DAISY SOUR CREAM(43876),1,33,62,930,1,0.023736055
2394,463214,457767465,RITCHEY'S LOWFAT CHOC MILK,0,762,673,153,4213,0.013406105,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,559,13.27,83658,225136952,RITCHEY'S 2% LOWFAT MILK,0,594,539,329,90,2.136244956,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,11,0.261096606,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,2,0.04747211,421715,1200859298,BM HALF AND HALF CREAMER,0,87,66,480,1,0.023736055
2395,463214,457767465,RITCHEY'S LOWFAT CHOC MILK,0,762,673,153,4213,0.013406105,455932,738096440,RITCHEY'S HOMO.VIT.D MILK GAL,0,625,565,321,446,10.59,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,82,1.946356516,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,10,0.237360551,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,4,0.09494422,12408,8920214,REDDI WIP CREAM 7 OZ.(8426),1,35,38,616,1,0.023736055
2396,463214,457767465,RITCHEY'S LOWFAT CHOC MILK,0,762,673,153,4213,0.013406105,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,304,7.22,14832,8923294,RITCHEYS GALLON TEAS(257006),1,490,481,625,50,1.186802753,83658,225136952,RITCHEY'S 2% LOWFAT MILK,0,594,539,329,11,0.261096606,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,2,0.04747211,12339,8930115,PHILA SOFT CREAM CHEESE 16Z(281893),1,223,136,25,1,0.023736055
2397,463819,1202468260,YOP ORIG VAN 32OZ,0,442,456,692,29856,0.095004197,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,3419,11.45,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,531,1.778536977,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,63,0.211012862,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,11,0.036843516,12367,8934067,PILLSBURY GRANDS BISCUITS(2091),1,51,74,989,2,0.006698821
2398,463819,1202468260,YOP ORIG VAN 32OZ,0,442,456,692,29856,0.095004197,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,3066,10.27,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,531,1.778536977,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,63,0.211012862,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,11,0.036843516,12367,8934067,PILLSBURY GRANDS BISCUITS(2091),1,51,74,989,2,0.006698821
2399,463819,1202468260,YOP ORIG VAN 32OZ,0,442,456,692,29856,0.095004197,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,2889,9.68,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,382,1.279474812,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,57,0.190916399,14683,8943491,COFFEE-MATE CREAMER 32OZ(409),1,7,3,286,14,0.046891747,12466,8923343,BM 8OZ CHUNK CHEESE(8320),1,13,20,1095,4,0.013397642
2400,463819,1202468260,YOP ORIG VAN 32OZ,0,442,456,692,29856,0.095004197,620920,1202028914,YOPL ORIG LF STRAWBERRY,0,367,385,696,2273,7.61,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,279,0.934485531,15753,886766192,BM 1% PLASTIC 13882,0,34,26,799,55,0.184217578,12357,8945057,KRAFT DELUXE AMERICAN SLICE(228996),1,247,155,56,9,0.030144695,21550,8920138,MM LEMONADE FRT PNCH 59Z(222583),1,68,99,933,1,0.003349411
2401,472629,1201756629,TURNER WHOLE CHOC MILK HG,0,498,501,559,22257,0.070823567,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,1571,7.06,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,154,0.69191715,15211,8922117,TURNER TEA 128 OZ(171545),1,112,109,730,21,0.094352339,41665,9002082,BM SHRED CHEESE UPPER TIER 8OZ(375553),1,37,59,885,4,0.017971874,343060,968585308,HILL LARGE EGGS 1 DZ,0,55,151,1013,1,0.004492969
2402,472629,1201756629,TURNER WHOLE CHOC MILK HG,0,498,501,559,22257,0.070823567,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,1502,6.75,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,167,0.75032574,41665,9002082,BM SHRED CHEESE UPPER TIER 8OZ(375553),1,37,59,885,21,0.094352339,12382,8921172,YOPLAIT YOGURT(11050),1,2,16,1325,4,0.017971874,40254,8931734,DANNON OIKOS BLUE CUP(368623),1,40,84,1345,2,0.008985937
2403,472629,1201756629,TURNER WHOLE CHOC MILK HG,0,498,501,559,22257,0.070823567,112049,619261169,BM 2% PLASTIC 12299,0,5,11,1150,1404,6.31,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,135,0.606550748,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,17,0.076380465,12382,8921172,YOPLAIT YOGURT(11050),1,2,16,1325,3,0.013478906,12373,8925399,PILLS CRESCENT ROLLS(10334),1,62,55,866,2,0.008985937
2404,472629,1201756629,TURNER WHOLE CHOC MILK HG,0,498,501,559,22257,0.070823567,15211,8922117,TURNER TEA 128 OZ(171545),1,112,109,730,1376,6.18,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,144,0.646987465,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,21,0.094352339,41665,9002082,BM SHRED CHEESE UPPER TIER 8OZ(375553),1,37,59,885,4,0.017971874,12408,8920214,REDDI WIP CREAM 7 OZ.(8426),1,35,38,616,1,0.004492969
2405,47334,132142241,EGG BEATERS REFR,0,1083,972,53,485,0.001543309,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,52,10.72,40176,8922928,BM COTTABM CHEESE 24OZ(6680),1,23,40,881,19,3.917525773,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,6,1.237113402,22186,8924940,DANNON GREEK 4PK(229434),1,18,10,357,3,0.618556701,31339,801450843,BM SKIM PLASTIC 12301,0,30,63,1091,1,0.206185567
2406,47334,132142241,EGG BEATERS REFR,0,1083,972,53,485,0.001543309,40176,8922928,BM COTTABM CHEESE 24OZ(6680),1,23,40,881,37,7.63,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,19,3.917525773,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,6,1.237113402,22186,8924940,DANNON GREEK 4PK(229434),1,18,10,357,3,0.618556701,31339,801450843,BM SKIM PLASTIC 12301,0,30,63,1091,1,0.206185567
2407,47334,132142241,EGG BEATERS REFR,0,1083,972,53,485,0.001543309,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,36,7.42,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,5,1.030927835,25058,8925342,SARBMNTO BALANCED BREAKS(265165),1,95,68,364,3,0.618556701,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,2,0.412371134,13972,8921163,BM CHUNK CHEESE 16Z(5113),1,111,88,507,1,0.206185567
2408,47334,132142241,EGG BEATERS REFR,0,1083,972,53,485,0.001543309,14683,8943491,COFFEE-MATE CREAMER 32OZ(409),1,7,3,286,32,6.60,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,6,1.237113402,219364,9520000,COFFEEMATE THE ORIGINAL CRMR,0,168,145,295,2,0.412371134,15570,8924298,BREAKSTONE COTTABM CHEESE(3273),1,174,221,628,2,0.412371134,12404,8922378,HELUVA GOOD DIP 12 OZ(4246),1,19,35,1326,1,0.206185567
2409,474559,1201760569,JUBILEE HILLTOP RANCH LG EGGS,0,524,390,87,19193,0.061073672,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,1433,7.47,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,120,0.625227948,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,16,0.083363726,112049,619261169,BM 2% PLASTIC 12299,0,5,11,1150,2,0.010420466,12466,8923343,BM 8OZ CHUNK CHEESE(8320),1,13,20,1095,1,0.005210233
